description_short,n_high_opportunities,total_partner_import_v,avg_market_penetration
"Fluorinated, brominated or iodinated derivatives of acyclic ",45,3841923.79,0.0
"Plastics: plates, sheets, film, foil and strip, of plastics ",45,5321033.865,0.0
"Glass: carboys, bottles, flasks, jars, pots, phials and othe",45,9835541.687,0.0
Projectors: other than of a kind solely or principally used ,45,4661495.663,0.0
"Electrical apparatus: fuses, for a voltage not exceeding 100",45,3101982.165,0.0
"Electrical apparatus: for protecting electrical circuits, n.",45,4771685.019,0.0
"Aluminium: tubes and pipes, alloys",45,2150103.58,0.0
"Vegetables, alliaceous: garlic, fresh or chilled",45,2956448.052,0.0
"Aluminium: table, kitchen or other household articles and pa",45,4450824.363,0.0
Plastics: articles of apparel and clothing accessories (incl,45,3547117.767,0.0
"Welding machines and apparatus: n.e.c. in heading no. 8515, ",45,2963733.112,0.0
Heating apparatus: electric soil heating apparatus and space,45,3383234.134,0.0
"Jackets and blazers: men's or boys', of synthetic fibres (no",45,2219878.677,0.0
"Rubber: synthetic, n.e.c. in heading 4002, (other than latex",45,1614618.903,0.0
Iron or steel: wire articles,45,3078082.3219999997,0.0
Cyclic hydrocarbons: styrene,45,8979768.196,0.0
"Rubber: vulcanised (other than hard rubber), articles n.e.c.",45,13344905.731,0.0
Dredgers,45,1574564.18,0.0
"Ovens: microwave, of a kind used for domestic purposes",45,4467199.401000001,0.0
"Engines: outboard motors for marine propulsion, spark-igniti",45,3573869.893,0.0
Pacemakers: for stimulating heart muscles (excluding parts a,45,6820359.902000001,0.0
"Coal: bituminous, whether or not pulverised, but not agglome",45,145857688.487,0.0
"Hosiery and footwear: without applied soles, of synthetic fi",45,3788052.495,0.0
Iron or steel: springs n.e.c. in heading no. 7320,45,1748204.821,0.0
"Iron or steel: non-threaded washers, excluding spring and lo",45,2460880.846,0.0
"Rubber: vulcanised (other than hard rubber), surgical gloves",45,4146291.906,0.0
Acyclic hydrocarbons: saturated,45,7246338.858,0.0
"Steel, stainless: tube or pipe fittings, flanges, of stainle",45,1754796.7280000001,0.0
"Engines: pneumatic power engines and motors, linear acting (",45,2326311.277,0.0
Styrene polymers: acrylonitrile-butadiene-styrene (ABS) copo,45,6227225.971,0.0
"Instruments, apparatus and models: designed for demonstratio",45,2813472.922,0.0
"Stones: precious or semi-precious, synthetic or reconstructe",45,5180390.551,0.0
"Insulating fittings: of plastics, for electrical machines, o",45,4966088.257999999,0.0
Kaolin and other kaolinic clays: whether or not calcined,45,1536757.481,0.0
"Iron or steel: threaded screws, bolts and nuts n.e.c. in ite",45,2853121.199,0.0
"Lecithins and other phosphoaminolipids, whether or not chemi",45,1553586.071,0.0
"Water sport equipment: water-skis, surf-boards and other wat",45,1503515.027,0.0
"Nuts, edible: pistachios, fresh or dried, in shell",45,2505791.6999999997,0.0
"Television cameras, digital cameras and video camera recorde",45,38492578.882,0.0
Ophthalmic instruments and appliances,45,5331967.245,0.0
Aluminium hydroxide,45,1751321.799,0.0
"Lifts, skip hoists or escalators: parts thereof",45,5371306.346,0.0
Electrical machines and apparatus: signal generators,44,1609131.358,0.0
"Paper and paperboard: cartons, boxes and cases, of corrugate",44,6562526.964,0.0
"Metals: gold, non-monetary, powder",44,1632881.51,0.0
"Metals: gold, non-monetary, unwrought (but not powder)",44,454636375.009,0.0
"Underpants and briefs: men's or boys', of cotton, knitted or",44,3754101.056,0.0
Biodiesel and mixtures thereof: not containing or containing,44,27864954.65,0.0
"Iron or steel: cast articles, excluding grinding balls and s",44,3759557.227,0.0
"Sugars: lactose and lactose syrup, containing by weight 99% ",44,1534430.107,0.0
Iron or steel: helical springs and leaves for springs,44,3491550.6,0.0
Turbines: parts of gas turbines (excluding turbo-jets and tu,44,20270263.98,0.0
"Fruit, edible: oranges, fresh or dried",44,4382947.352,0.0
"Paper pulp, paper, paperboard, cellulose wadding or webs of ",44,4106108.768,0.0
"Gloves, mittens and mitts: knitted or crocheted, impregnated",44,2930722.77,0.0
Paper articles: toilet paper,44,3644851.147,0.0
Wood: non-coniferous other than bamboo (including unassemble,44,2385880.69,0.0
Seats: of a kind used for motor vehicles,44,3116961.669,0.0
Medicaments: consisting of mixed or unmixed products n.e.c. ,44,233747362.766,0.0
"Fish: frozen, mackerel (Scomber scombrus, Scomber australasi",44,2268201.351,0.0
"Yachts and other vessels: for pleasure or sports, rowing boa",44,2831370.493,0.0
Bearings: spherical roller bearings,44,1909124.111,0.0
"Acids: saturated acyclic monocarboxylic acids: anhydrides, h",44,3533617.235,0.0
Spirits obtained by distilling grape wine or grape marc,44,7290714.203,0.0
Zinc: oxide and peroxide,44,1439370.162,0.0
"Nuts and other seeds: whether or not containing added sugar,",44,4311569.08,0.0
Automatic data processing machines: comprising in the same h,44,9175613.828,0.0
"Electro-thermic appliances: coffee or tea makers, of a kind ",44,7457342.584,0.0
Vehicle parts: clutches and parts thereof,44,10727995.243,0.0
Heterocyclic compounds: n.e.c. in headings no. 2933,44,20347055.045,0.0
"Diamonds: non-industrial, (other than unworked or simply saw",44,65522691.839,0.0
"Copper: bars, rods and profiles, of copper-zinc base alloys ",44,2394804.432,0.0
Wine: sparkling,44,9260058.2,0.0
"Fibres: synthetic staple fibres, of polyesters, not carded, ",44,3642582.545,0.0
"Headgear: safety, whether or not lined or trimmed",44,3099997.342,0.0
Electrical static converters,44,72780306.718,0.0
Machinery: parts of machinery of heading no. 8422,44,6604372.93,0.0
"Mucilages and thickeners: whether or not modified, derived f",44,1402308.599,0.0
Cosmetic and toilet preparations: lip make-up,44,3580333.646,0.0
"Molluscs: n.e.c. in heading 0307, whether in shell or not, o",44,6744814.973,0.0
"Colouring matter of vegetable or animal origin, including dy",44,1715028.575,0.0
"Machinery: filtering or purifying machinery, oil or petrol f",44,6361454.166999999,0.0
"Fish preparations: fish prepared or preserved, whole or in p",44,2565985.032,0.0
"Shirts: men's or boys', of cotton, knitted or crocheted",44,5327573.305,0.0
Machines and mechanical appliances: having individual functi,44,40593403.215,0.0
Furniture: plastic,44,2415527.756,0.0
"Clasps, frames with clasps, buckles, buckle clasps: of base ",44,2136372.043,0.0
"Moulds: for rubber or plastics, injection or compression typ",44,10874103.625,0.0
Reception and transmission apparatus: aerials and aerial ref,44,4848316.983,0.0
"Plastics: tube, pipe and hose fittings (e.g. joints, elbows,",43,5942801.307,0.0
"Engines: hydraulic power engines and motors, other than line",43,5066420.495,0.0
Tankers,43,17200287.439,0.0
Food preparations: cereal or cereal products (excluding maiz,43,1254321.96,0.0
Perfumes and toilet waters,43,17865166.157,0.0
"Nickel: plates, sheets, strip and foil, of nickel alloys",43,2118965.029,0.0
"Steel, stainless: tube or pipe fittings, n.e.c. in item no. ",43,3309365.53,0.0
"Bed linen: of cotton (not printed, knitted or crocheted)",43,3316455.633,0.0
Epoxide resins: in primary forms,43,5878072.581,0.0
"Paper and paperboard: packing containers, including record s",43,2367870.285,0.0
"Electro-thermic appliances: parts, of heating resistors, of ",43,4104460.075,0.0
Ferrous waste and scrap: n.e.c. in heading no. 7204,43,30245235.72,0.0
"Plastics: baths, shower-baths, sinks and wash-basins",43,1885156.229,0.0
Ferrous waste and scrap: of alloy steel (excluding stainless,43,2678484.192,0.0
Brewing or distilling dregs and waste: whether or not in the,43,4204135.012,0.0
"Steel, alloy: bars and rods, cold-formed or cold-finished",43,2413789.029,0.0
"Coats: men's or boys' overcoats, car-coats, capes, anoraks, ",43,1716838.836,0.0
Copper: articles n.e.c. in heading no. 7419,43,3562639.628,0.0
"Engines: parts, for engines and motors of heading no. 8412",43,8621768.275,0.0
"Optical elements: lenses n.e.c. in heading no. 9001, prisms,",43,8254199.9629999995,0.0
"Titanium: other than unwrought, n.e.c. in heading no. 8108",43,5977345.34,0.0
"Flowers, cut: roses, flowers and buds of a kind suitable for",43,3028967.8959999997,0.0
"Seats: n.e.c. in heading no. 9401, (excluding medical, surgi",43,3898719.885,0.0
Residues of starch manufacture and similar residues: whether,43,2102206.479,0.0
Silicones: in primary forms,43,7408771.034,0.0
"Iron or steel: tube or pipe fittings, threaded elbows, bends",43,1391156.1,0.0
"Wood: assembled flooring panels, multilayer, other than mosa",43,2045759.872,0.0
Instruments and apparatus: for measuring or detecting ionisi,43,1719193.885,0.0
"Machinery: parts of the machinery of heading no. 8428, (othe",43,9695224.234,0.0
"Manganese: articles thereof, including waste and scrap",43,1558667.961,0.0
Cyclic amides (including cyclic carbamates) and their deriva,43,6069816.009,0.0
"Hair-dressing apparatus: electro-thermic, other than hair dr",43,3126645.181,0.0
Acyclic amides (including acyclic carbamates) and their deri,43,2442020.675,0.0
Vegetables: mixtures of vegetables n.e.c. in heading no. 071,43,1756384.5189999999,0.0
"Lenses, spectacle: unmounted, of materials other than glass",43,6889663.791999999,0.0
"Furniture: metal, other than for office use",43,17094301.668,0.0
Wood: charcoal of wood other than bamboo (including shell or,43,1598897.543,0.0
Garments: of felt or non-wovens (not knitted or crocheted),43,2141320.101,0.0
"Lighting or signalling equipment: electrical, (excluding art",43,8647846.124,0.0
Aluminium: articles n.e.c. in heading 7616,43,16984854.379,0.0
"Signalling apparatus: electric, sound or visual, indicator p",43,5262874.04,0.0
"Cycles: parts thereof, n.e.c. in item no. 8714.9",43,4274316.132,0.0
Wheat gluten: whether or not dried,43,2325992.7060000002,0.0
"Glass of heading no. 7003, 7004 or 7005: bent, edge-worked, ",43,2837254.616,0.0
"Rubber: synthetic, ethylene-propylene-non-conjugated diene r",43,2316480.519,0.0
"Cycles: frames and forks, and parts thereof",43,3496450.941,0.0
"Printed matter: in single sheets, whether or not folded",43,1165124.097,0.0
Heterocyclic compounds: containing a quinoline or isoquinoli,43,1621131.655,0.0
Ion-exchangers: based on polymers of heading no. 3901 to 391,43,2381809.249,0.0
"Dairy produce: whey, whether or not concentrated or containi",43,3395513.785,0.0
"Pumps and compressors: parts, of air or vacuum pumps, air or",43,14449494.154,0.0
Instruments and apparatus: for measuring or checking the flo,43,5031618.363,0.0
Dental fittings: other than artificial teeth,43,3694412.6799999997,0.0
"Juice: orange, frozen, unfermented, (not containing added sp",43,1885836.127,0.0
"Printing machinery used for printing by means of plates, cyl",43,1611362.22,0.0
"Rubber: natural rubber latex, whether or not pre-vulcanised,",43,1663028.99,0.0
"Machine-tools: parts and accessories, tool holders and self-",43,3041193.762,0.0
"Juices: mixtures of fruits or vegetables, unfermented, not c",43,1056353.88,0.0
"Electrical transformers: n.e.c. in item no. 8504.2, having a",42,5069629.519,0.0
Electro-mechanical domestic appliances: with self-contained ,42,7393462.007,0.0
"Ethers: acyclic, and their halogenated, sulphonated, nitrate",42,11285842.547,0.0
Iron or steel: leaf-springs and leaves therefor,42,1912860.725,0.0
"Signalling apparatus: electric, sound or visual, apparatus n",42,4738788.782,0.0
"Machinery parts: buckets, shovels, grabs and grips, for the ",42,2457583.807,0.0
"Nickel: bars, rods and profiles, of nickel alloys",42,3073158.473,0.0
Ceramic articles n.e.c. in chapter 69: other than of porcela,42,1335507.321,0.0
"Cattle: live, other than pure-bred breeding animals",42,9184938.443,0.0
"Railway or tramway coaches, vans and trucks: self-propelled,",42,5534480.114,0.0
"Ignition or starting equipment: spark plugs, of a kind used ",42,3410538.056,0.0
"Cement, concrete or artificial stone: prefabricated structur",42,3019826.898,0.0
"Lenses: objective, for cameras, projectors or photographic e",42,6423033.390000001,0.0
"Glassware: n.e.c. in heading no. 7013, other than of lead cr",42,1215937.513,0.0
"Oil seeds: sunflower seeds, whether or not broken",42,4802746.2809999995,0.0
"T-shirts, singlets and other vests: of textile materials (ot",42,11484078.893,0.0
Dairy produce: fats and oils derived from milk (other than b,42,2392685.397,0.0
"Dairy produce: yoghurt, whether or not concentrated or conta",42,2880455.401,0.0
Shavers: with self-contained electric motor,42,2039204.079,0.0
Sheep: live,42,2407824.11,0.0
Cooking appliances and plate warmers: for gas fuel or for bo,42,4190155.34,0.0
"Taps, cocks, valves and similar appliances: for pipes, boile",42,38240380.206,0.0
"Taps, cocks, valves and similar appliances: parts thereof",42,15801735.081,0.0
"Plastics: boxes, cases, crates and similar articles for the ",42,11180562.076,0.0
"Coal: anthracite, whether or not pulverised, but not agglome",42,9138194.407,0.0
Tents: of synthetic fibres,42,2248849.3109999998,0.0
"Lenses, contact: unmounted, of any material, excluding eleme",42,6543226.881,0.0
"Plastics: carboys, bottles, flasks and similar articles, for",42,6082679.3,0.0
"Shirts: men's or boys', of man-made fibres (not knitted or c",42,2474603.839,0.0
"Cases and containers: n.e.c. in heading 4202, of vulcanised ",42,1106034.8,0.0
"Dresses: women's or girls', of artificial fibres (not knitte",42,3533663.643,0.0
"Nuts, edible: almonds, fresh or dried, shelled",42,3751776.213,0.0
Lubricating preparations: other than for the treatment of te,42,3917923.659,0.0
Navigational instruments and appliances: for aeronautical or,42,3692357.701,0.0
"Carpets and other textile floor coverings: woven, (not tufte",42,2218692.827,0.0
"Musical instruments: (other than keyboard), the sound of whi",42,1502810.822,0.0
"Food preparations: pasta, uncooked (excluding that containin",42,4476236.778,0.0
"Furniture: of cane, osier, or similar materials (other than ",42,2846900.678,0.0
"Glass mirrors: framed, excluding rear-view mirrors for vehic",42,1588771.031,0.0
"Magnetic or optical readers, machines for transcribing data ",42,6560562.439,0.0
"Electrical apparatus: relays, (for a voltage not exceeding 6",42,4610474.336,0.0
"Vegetables, root: carrots and turnips, fresh or chilled",42,1247815.6870000002,0.0
"Metals: palladium, semi-manufactured",42,1616451.639,0.0
"Electric accumulators: nickel-metal hydride, including separ",42,1883970.1269999999,0.0
"Marble, travertine and alabaster: simply cut or sawn, with a",42,1583810.554,0.0
"Steel, alloy (not stainless steel): (excluding cold-drawn or",42,2129164.087,0.0
"Food preparations: waffles and wafers, whether or not contai",42,4421468.884,0.0
Footwear: n.e.c. in chapter 64,42,1577089.303,0.0
"Copper: stranded wire, cables, plaited bands and the like, n",42,2593551.443,0.0
"Electrical apparatus: automatic circuit breakers, for a volt",42,8771138.765,0.0
Equipment for outdoor games and recreation n.e.c. in heading,42,6033480.738,0.0
"Meat: of bovine animals, boneless cuts, fresh or chilled",42,19873768.338,0.0
"Bearings: tapered roller bearings, including cone and tapere",42,4730009.684,0.0
"Fruit, edible: kiwifruit, fresh",42,3447259.307,0.0
"Copper: refined, unwrought, cathodes and sections of cathode",42,84824731.474,0.0
Bearings: cylindrical roller bearings n.e.c. in heading no. ,42,3547036.598,0.0
"Bearing housings, not incorporating ball or roller bearings ",42,5148047.147,0.0
"Ethylene polymers: in primary forms, ethylene-vinyl acetate ",42,5629552.468,0.0
Boilers: central heating boilers (excluding those of heading,42,4816346.939,0.0
"Copper: strip, of a thickness exceeding 0.15mm, of copper-zi",42,1681591.117,0.0
Organic surface-active products and preparations for washing,42,5437888.552,0.0
Microphones and stands therefor,42,3507099.275,0.0
Salt (including table salt and denatured salt): pure sodium ,42,4076911.699,0.0
Wood: table and kitchenware,42,1862456.048,0.0
"Paper and paperboard: folding cartons, boxes and cases, of n",42,6342504.388,0.0
Coffee: not roasted or decaffeinated,42,17742322.023000002,0.0
"Carpets and other textile floor coverings: tufted, of nylon ",42,2173185.243,0.0
Machinery: parts of machinery for soil preparation or cultiv,42,3436029.708,0.0
"Garments: men's or boys', n.e.c. in item no. 6210.2, of the ",42,2180229.426,0.0
"Garments: of man-made fibres, knitted or crocheted, n.e.c. i",42,3828816.479,0.0
Gaskets and similar joints: of metal sheeting combined with ,42,2224656.279,0.0
"Vehicles: bumpers and parts thereof, for the vehicles of hea",42,7789358.472,0.0
"Stone articles and other mineral substances, non-electrical ",41,1981672.3560000001,0.0
Acids: unsaturated acyclic monocarboxylic acids: esters of m,41,2368280.693,0.0
"Ethylene polymers: sacks and bags (including cones), for the",41,10285913.388999999,0.0
Industrial fatty alcohols,41,3713177.451,0.0
"Paper and paperboard: labels or all kinds, printed",41,2744351.348,0.0
"Acyclic hydrocarbons: unsaturated, propene (propylene)",41,5447253.7190000005,0.0
"Instruments and apparatus: using optical radiations (UV, vis",41,9224785.373,0.0
Cobalt: mattes and other intermediate products of cobalt met,41,4498998.240999999,0.0
"Paper and paperboard: sacks and bags, including cones, of pa",41,3159755.186,0.0
Paper pulp: moulded or pressed articles or paper pulp,41,1704344.369,0.0
"Curtains (including drapes) and interior blinds, curtain or ",41,3231291.5609999998,0.0
Orthopaedic or fracture appliances,41,11629648.578,0.0
"Fats and oils and their fractions: of fish, (excluding liver",41,4056596.998,0.0
"Iron or steel: non-threaded articles, n.e.c. in item no. 731",41,3717673.516,0.0
"Inorganic or organic compounds of precious metals, n.e.c.: a",41,6002194.6899999995,0.0
X-ray tubes,41,2418907.566,0.0
"Iron or steel: sheet piling, whether or not drilled, punched",41,1616491.354,0.0
"Seats: with wooden frames, not upholstered, (excluding medic",41,2527840.23,0.0
Wood: builders' joinery and carpentry of wood n.e.c. in head,41,6327106.916999999,0.0
"Crustaceans: frozen, cold-water shrimps and prawns (Pandalus",41,1514887.1439999999,0.0
Fans: n.e.c. in item no. 8414.51,41,11139796.287,0.0
"Media n.e.c. in heading 8523, whether or not recorded, exclu",41,1637206.724,0.0
Photographic goods: chemical preparations other than sensiti,41,5670715.859,0.0
"Animal products: guts, bladders and stomachs of animals (oth",41,4775319.638,0.0
Amplifiers: audio-frequency electric,41,4376033.57,0.0
Electrical machines and apparatus: parts of the electrical g,41,8325034.26,0.0
Heat pumps: other than air conditioning machines of heading ,41,5581834.749,0.0
"Plastics: stoppers, lids, caps and other closures, for the c",41,7141278.505,0.0
Machinery: parts of machinery for making or finishing paper ,41,2123024.913,0.0
"Electrical capacitors: fixed, tantalum",41,1570844.183,0.0
Vehicle parts: radiators and parts thereof,41,7568488.4399999995,0.0
"Flours, meals and pellets: of meat or meat offal, greaves",41,3501156.5039999997,0.0
"Machines and mechanical appliances: parts, of those having i",41,19607521.166,0.0
"Propylene, other olefin polymers: n.e.c. in heading no. 3902",41,3036230.088,0.0
"Sports footwear: tennis shoes, basketball shoes, gym shoes, ",41,15354639.501,0.0
"Footwear: (other than sportswear), with outer soles of rubbe",41,18246192.186,0.0
"Meat preparations: of bovine animals, meat or meat offal, pr",41,2554124.051,0.0
Ball bearings,41,8960467.212,0.0
"Crustaceans: frozen, crabs, in shell or not, smoked, cooked ",41,2390227.7350000003,0.0
"Garments: of cotton, knitted or crocheted, n.e.c. in chapter",41,2023943.531,0.0
"Machinery: for filtering or purifying liquids, n.e.c. in ite",41,10213128.945,0.0
"Fruit, edible: grapes, fresh",41,9143375.099,0.0
Aircraft and spacecraft: parts thereof n.e.c. in chapter 88,41,4069399.123,0.0
"Alcohols: saturated monohydric, n.e.c. in item no. 2905.1",41,1960814.929,0.0
"Fish: fresh or chilled, Atlantic salmon (Salmo salar) and Da",41,14209512.822,0.0
Plastics: household articles and hygienic or toilet articles,41,8588815.547,0.0
"Cereals: barley, other than seed",41,11200016.274,0.0
"Machine-tools: grinding machines (other than flat-surface), ",41,1607439.344,0.0
"Tools, hand: other hand tools (including glaziers diamonds),",41,2837528.7120000003,0.0
"Nightdresses and pyjamas: women's or girls', of cotton, knit",41,1551668.571,0.0
Navigational instruments and appliances: for navigation othe,41,2079106.004,0.0
"Machine-tools: parts and accessories, work holders",41,1600218.295,0.0
"Cells and batteries: primary, lithium",41,4058974.084,0.0
"Shirts: men's or boys', of cotton (not knitted or crocheted)",40,7285562.759,0.0
Sauces and preparations therefor: mixed condiments and mixed,40,7493042.107,0.0
Phosphoric acid and polyphosphoric acids,40,5794633.78,0.0
"Electric motors: AC motors, multi-phase, of an output not ex",40,4239959.325,0.0
"Spectacles, goggles and the like: (other than sunglasses) co",40,3035590.825,0.0
Sodium hydroxide (caustic soda): in aqueous solution (soda l,40,6444998.117,0.0
Radio remote control apparatus,40,4190690.136,0.0
"Railway or tramway locomotives or rolling stock: parts, axle",40,4070992.102,0.0
"Pumps: rotary positive displacement pumps, n.e.c. in heading",40,5911610.266,0.0
"Copper: strip, of a thickness exceeding 0.15mm, of refined c",40,3481365.222,0.0
"Skirts and divided skirts: women's or girls', of cotton (not",40,1233533.932,0.0
"Petroleum coke: calcined, obtained from bituminous minerals",40,4728619.617,0.0
"Saddlery and harness: for any animal (including traces, lead",40,1879481.56,0.0
"Skirts and divided skirts: women's or girls', of synthetic f",40,2055700.463,0.0
Electrical machines and apparatus: having individual functio,40,40358919.253,0.0
"methadone (INN) intermediate (4-cyano-2-dimethylamino-4,4-di",40,2657610.6489999997,0.0
"Iron or steel: articles n.e.c. in item no. 7326.11, forged o",40,3870597.714,0.0
Chocolate and other food preparations containing cocoa: n.e.,40,7544561.192,0.0
"Instruments and apparatus: n.e.c. in heading no. 9030, witho",40,1992362.1030000001,0.0
"Instruments and apparatus: gas or smoke analysis apparatus, ",40,7089259.923,0.0
Instruments and apparatus: for physical or chemical analysis,40,9556042.895,0.0
"Headphones and earphones, whether or not combined with a mic",40,13451874.759,0.0
"Ink: writing, drawing and other inks, n.e.c. in heading no. ",40,4712763.049,0.0
Casein,40,1689053.074,0.0
Food preparations: mixes and doughs for the preparation of b,40,3584934.716,0.0
Carpets and other textile floor coverings: n.e.c. in chapter,40,1392514.6979999999,0.0
Bedding and similar furnishing articles: n.e.c. in heading n,40,8958655.406,0.0
Units of automatic data processing machines: n.e.c. in item ,40,31062701.798,0.0
"Footwear: n.e.c. in heading no. 6402, covering the ankle, wi",40,5515371.102,0.0
"Footwear: n.e.c. in heading no. 6403, covering the ankle, ou",40,12749797.691,0.0
"Glycosides: natural or reproduced by synthesis, other than r",40,1561505.893,0.0
"Bearings: parts, (other than balls, needles and rollers)",40,4754333.078,0.0
"Glass: safety glass, toughened (tempered), (not of a size an",40,4060050.077,0.0
"Glass: safety glass, laminated, of size and shape suitable f",40,3456147.5130000003,0.0
"Meat preparations: of the poultry of heading no. 0105, (i.e.",40,9657203.913999999,0.0
"Meat preparations: of swine, hams and cuts thereof, prepared",40,1516969.269,0.0
"Mattresses: of other materials, not cellular rubber or plast",40,2435493.623,0.0
Wood: doors and their frames and thresholds,40,2509075.1950000003,0.0
"Fruit, edible: peaches, including nectarines, fresh",40,2433789.668,0.0
"Machinery parts: not containing electrical connectors, insul",40,5227228.202,0.0
"Vegetables, leguminous: peas (pisum sativum), shelled, wheth",40,2805695.233,0.0
"Magnets: electro-magnets, holding devices and parts n.e.c. i",40,3252198.249,0.0
Furniture: parts,40,13019634.418,0.0
"Furniture: wooden, for kitchen use",40,5016449.585,0.0
"Aluminium: unwrought, alloys",40,34219852.358,0.0
Vehicle parts: road wheels and parts and accessories thereof,40,19192558.77,0.0
Machinery: parts of the machinery of heading no. 8425,40,1750157.48,0.0
Kitchen and toilet linen: of terry towelling or similar terr,40,5857848.047,0.0
Ammunition: n.e.c. in chapter 93,40,7100264.4969999995,0.0
"Jewellery: imitation, (excluding cuff links and studs), of b",40,4637370.576,0.0
Chromatographs and electrophoresis instruments,40,2729775.626,0.0
"Fertilizers, mineral or chemical: containing the two fertili",40,4548481.175,0.0
"Sunglasses: corrective, protective or other",40,6724923.562999999,0.0
"Paper articles: articles of paper, cellulose wadding or fibr",40,1565932.486,0.0
Instruments and apparatus: specially designed for telecommun,40,3965221.6399999997,0.0
"Optical devices, appliances and instruments: n.e.c. in headi",40,5556348.3719999995,0.0
"Optical media: recorded, excluding products of Chapter 37",40,7788462.527,0.0
Pumps: vacuum,39,5518814.339000001,0.0
"Electric motors and generators: DC, of an output exceeding 7",39,2597703.648,0.0
Wood: articles of wood n.e.c. in heading no. 4414 to 4420 (e,39,5709183.632999999,0.0
"Copper: foil, not backed, of a thickness not exceeding 0.15m",39,3843700.005,0.0
"Dairy produce: milk and cream, concentrated or containing ad",39,8073556.7190000005,0.0
"Medical, surgical instruments and appliances: electro-cardio",39,1389068.099,0.0
"Meat: salted in brine, dried or smoked, of swine, n.e.c. in ",39,2791150.0530000003,0.0
"Glass: safety glass, toughened (tempered), of size and shape",39,2288618.38,0.0
"Jackets and blazers: women's or girls', of synthetic fibres ",39,2994275.468,0.0
"Spectrometers, spectrophotometers and spectrographs: using o",39,4088948.604,0.0
"Peat: (including peat litter), whether or not agglomerated",39,1714754.092,0.0
"Dresses: women's or girls', of cotton (not knitted or croche",39,3768151.664,0.0
"Pharmaceutical goods: sterile surgical catgut, suture materi",39,4718761.363,0.0
"Gears and gearing: (not toothed wheels, chain sprockets and ",39,16534101.869,0.0
Engines: parts for internal combustion piston engines (exclu,39,30643751.748,0.0
Garments made up of knitted or crocheted fabrics of heading ,39,1483766.791,0.0
"Zinc: unwrought, alloys",39,2320010.304,0.0
"Sugars, chemically pure, other than sucrose, lactose, maltos",39,1339226.746,0.0
Electric accumulators: parts n.e.c. in heading no. 8507,39,6335884.324,0.0
"Coffee: roasted, not decaffeinated",39,7913847.722,0.0
"Wood, tropical: as specified in Subheading Note 2 to this Ch",39,2838412.439,0.0
Loudspeakers: not mounted in their enclosures,39,5316639.124,0.0
"Railway or tramway coaches: passenger coaches, luggage vans,",39,1674648.042,0.0
Stone articles and articles of other mineral substances: n.e,39,5651775.03,0.0
Cyclic hydrocarbons: toluene,39,3046664.736,0.0
Heterocyclic compounds: containing an unfused pyridine ring ,39,13966902.237,0.0
Games: playing cards,39,2038939.567,0.0
"Vehicles: parts and accessories, of bodies, other than safet",39,72839674.073,0.0
"Games: video game consoles and machines, other than those of",39,30127007.847999997,0.0
Cosmetic and toilet preparations: eye make-up,39,3655542.376,0.0
Machinery: parts of the machinery of heading no. 8427,39,7379823.735,0.0
"Pumps: reciprocating positive displacement pumps, n.e.c. in ",39,7265129.972,0.0
"Wood: coniferous, in the rough, whether or not stripped of b",39,7307074.6559999995,0.0
"Air heaters and hot air distributors, (not electrically heat",39,1873279.439,0.0
Instruments and apparatus: parts and accessories for those m,39,4403827.564,0.0
"Jewellery: imitation, of other than base metal, whether or n",39,1704238.332,0.0
Optical instruments and appliances: for measuring or checkin,39,10950851.709,0.0
Electrical inductors: n.e.c. in heading no. 8504,39,12655838.279000001,0.0
Monitors other than cathode-ray tube: other than of a kind s,39,29720098.746,0.0
Circuits: printed,39,43339728.562,0.0
"Harvesting machinery: parts, including parts of threshing ma",39,6990920.317,0.0
"Cigars, cheroots and cigarillos: containing tobacco includin",39,3548614.5,0.0
"Steel, alloy: bars and rods, hot-rolled, in irregularly woun",39,3520862.906,0.0
Plastics: articles for the conveyance or packing of goods n.,39,7356205.064,0.0
"Waters: mineral and aerated, including natural or artificial",39,2448653.395,0.0
Nickel: powders and flakes,39,1834608.773,0.0
"Nickel: wire, of nickel alloys",39,1601488.873,0.0
"Fish: frozen, n.e.c. in heading 0303, excluding fillets, liv",39,4448748.685,0.0
Electronic integrated circuits: memories,39,159431590.565,0.0
"Offal, edible: of bovine animals, (other than tongues and li",39,2723075.258,0.0
"Plastics: builders' ware, shutters, blinds (including veneti",39,1797245.708,0.0
"Iron or steel wire: grill, netting and fencing, welded at in",39,1694400.952,0.0
Food preparations: n.e.c. in item no. 2106.10,39,22023154.545,0.0
"Wood: pallets, box pallets and other load boards: pallet col",39,3690684.199,0.0
Statuettes and other ornaments: of base metal other than pla,39,1784089.873,0.0
Food preparations: obtained by the swelling or roasting of c,39,3492120.3219999997,0.0
"Alcohols: saturated monohydric, octanol (octyl alcohol) and ",39,1538985.519,0.0
Microtomes and parts and accessories thereof,39,11815173.95,0.0
Lithium oxide and hydroxide,39,8436290.947,0.0
"Microphones, headphones, earphones, amplifier equipment: par",39,3250488.266,0.0
Polyacetals: in primary forms,39,2428545.55,0.0
"Metals: palladium, unwrought or in powder form",39,17572560.482,0.0
"Metals: silver, semi-manufactured",39,6419816.911,0.0
Jewellery: of precious metal (excluding silver) whether or n,38,66538043.876,0.0
Ground flying trainers and parts thereof: other than air com,38,1887003.63,0.0
Aircraft and spacecraft: parts of aeroplanes or helicopters ,38,55191812.497,0.0
